time (s),leafValue( IT("/I4/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout2") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout3") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
68.15E-6,70.64E-9,439.9E-12,61.05E-12,11.16E-6
68.29E-6,70.31E-9,308.0E-12,59.91E-12,11.16E-6
68.42E-6,70.05E-9,222.2E-12,58.84E-12,11.16E-6
68.60E-6,69.94E-9,180.8E-12,57.54E-12,11.15E-6
68.73E-6,69.96E-9,173.4E-12,56.59E-12,11.15E-6
68.87E-6,69.99E-9,169.4E-12,55.63E-12,11.15E-6
69.06E-6,70.00E-9,160.3E-12,54.33E-12,11.15E-6
69.44E-6,70.00E-9,141.9E-12,51.97E-12,11.15E-6
69.50E-6,70.00E-9,139.2E-12,51.62E-12,11.15E-6
69.56E-6,69.95E-9,138.5E-12,51.35E-12,11.13E-6
69.62E-6,69.87E-9,139.2E-12,50.73E-12,11.11E-6
69.68E-6,69.85E-9,140.0E-12,50.43E-12,11.09E-6
69.78E-6,69.94E-9,141.6E-12,49.92E-12,11.08E-6
69.91E-6,70.07E-9,142.6E-12,49.41E-12,11.06E-6
70.00E-6,70.09E-9,141.8E-12,49.03E-12,11.05E-6
70.07E-6,70.13E-9,137.9E-12,48.77E-12,11.07E-6
70.13E-6,70.18E-9,132.8E-12,48.70E-12,11.08E-6
70.19E-6,70.21E-9,127.5E-12,48.47E-12,11.08E-6
70.30E-6,70.11E-9,118.1E-12,47.89E-12,11.08E-6
70.43E-6,69.99E-9,110.4E-12,47.13E-12,11.08E-6
70.61E-6,69.96E-9,104.5E-12,46.20E-12,11.07E-6
70.87E-6,70.00E-9,99.21E-12,44.99E-12,11.06E-6
71.24E-6,70.00E-9,92.26E-12,43.36E-12,11.05E-6
71.90E-6,70.00E-9,81.04E-12,40.73E-12,11.04E-6
72.73E-6,70.00E-9,70.27E-12,37.91E-12,11.04E-6
73.73E-6,70.00E-9,60.59E-12,34.98E-12,11.04E-6
74.73E-6,70.00E-9,53.31E-12,32.49E-12,11.04E-6
75.73E-6,70.00E-9,47.63E-12,30.34E-12,11.04E-6
76.73E-6,70.00E-9,43.07E-12,28.46E-12,11.05E-6
77.73E-6,70.00E-9,39.32E-12,26.81E-12,11.05E-6
78.73E-6,70.00E-9,36.20E-12,25.35E-12,11.05E-6
79.50E-6,70.00E-9,34.11E-12,24.32E-12,11.05E-6
79.54E-6,70.23E-9,27.90E-12,23.38E-12,11.11E-6
79.61E-6,70.83E-9,8.443E-12,24.80E-12,11.19E-6
79.67E-6,71.07E-9,-14.79E-12,25.04E-12,11.26E-6
79.73E-6,70.50E-9,-33.44E-12,25.04E-12,11.32E-6
79.81E-6,69.13E-9,-54.47E-12,24.61E-12,11.38E-6
79.89E-6,67.16E-9,-97.12E-12,23.34E-12,11.46E-6
79.95E-6,65.92E-9,-142.8E-12,21.99E-12,11.51E-6
80.00E-6,64.62E-9,-210.2E-12,19.80E-12,11.56E-6
80.02E-6,64.08E-9,-244.2E-12,18.48E-12,11.49E-6
80.04E-6,63.54E-9,-277.7E-12,14.94E-12,11.43E-6
80.07E-6,62.96E-9,-311.4E-12,12.42E-12,11.37E-6
80.11E-6,62.19E-9,-383.7E-12,8.171E-12,11.30E-6
80.16E-6,62.23E-9,-461.2E-12,3.285E-12,11.26E-6
80.21E-6,63.09E-9,-542.2E-12,-2.783E-12,11.24E-6
80.26E-6,64.55E-9,-623.6E-12,-9.866E-12,11.23E-6
80.34E-6,66.10E-9,-707.5E-12,-18.05E-12,11.23E-6
80.44E-6,66.71E-9,-787.2E-12,-26.69E-12,11.24E-6
80.54E-6,66.40E-9,-856.8E-12,-35.59E-12,11.25E-6
80.63E-6,65.90E-9,-925.5E-12,-41.99E-12,11.26E-6
80.72E-6,65.56E-9,-990.2E-12,-43.62E-12,11.26E-6
80.84E-6,65.35E-9,-1.073E-9,-46.09E-12,11.27E-6
80.96E-6,65.24E-9,-1.150E-9,-58.21E-12,11.29E-6
81.07E-6,65.11E-9,-1.213E-9,-83.76E-12,11.31E-6
81.20E-6,64.87E-9,-1.280E-9,-139.7E-12,11.34E-6
81.35E-6,64.51E-9,-1.343E-9,-237.8E-12,11.37E-6
81.49E-6,64.12E-9,-1.383E-9,-354.3E-12,11.40E-6
81.64E-6,63.25E-9,-960.9E-12,-484.2E-12,11.44E-6
81.68E-6,62.63E-9,-182.9E-12,-516.7E-12,11.45E-6
81.75E-6,57.65E-9,6.179E-9,-552.4E-12,11.47E-6
81.79E-6,52.72E-9,13.18E-9,-543.0E-12,11.49E-6
81.82E-6,44.69E-9,24.28E-9,-496.8E-12,11.51E-6
81.85E-6,34.86E-9,36.66E-9,-402.8E-12,11.53E-6
81.89E-6,24.73E-9,47.55E-9,-255.6E-12,11.55E-6
81.93E-6,14.92E-9,56.07E-9,-32.81E-12,11.58E-6
81.96E-6,10.51E-9,61.19E-9,120.8E-12,11.60E-6
81.98E-6,8.344E-9,66.53E-9,215.3E-12,11.63E-6
82.00E-6,6.989E-9,71.46E-9,281.4E-12,11.65E-6
82.02E-6,5.933E-9,75.32E-9,334.7E-12,11.67E-6
82.04E-6,5.200E-9,76.81E-9,367.6E-12,11.68E-6
82.07E-6,4.701E-9,76.81E-9,381.6E-12,11.69E-6
82.09E-6,4.324E-9,76.17E-9,380.9E-12,11.69E-6
82.12E-6,3.999E-9,75.35E-9,366.8E-12,11.70E-6
82.15E-6,3.691E-9,74.70E-9,338.3E-12,11.70E-6
82.20E-6,3.375E-9,74.49E-9,294.1E-12,11.71E-6
82.27E-6,3.084E-9,74.76E-9,244.7E-12,11.72E-6
82.37E-6,2.818E-9,74.99E-9,192.1E-12,11.73E-6
82.49E-6,2.596E-9,74.76E-9,133.7E-12,11.75E-6
82.65E-6,2.411E-9,74.32E-9,67.96E-12,11.77E-6
82.83E-6,2.242E-9,73.94E-9,-1.263E-12,11.79E-6
83.04E-6,2.084E-9,73.58E-9,-63.08E-12,11.81E-6
83.18E-6,1.973E-9,73.31E-9,-95.95E-12,11.81E-6
83.22E-6,1.917E-9,73.19E-9,-105.5E-12,11.82E-6
83.28E-6,1.768E-9,72.94E-9,-113.9E-12,11.82E-6
83.31E-6,1.487E-9,72.53E-9,-116.5E-12,11.82E-6
83.35E-6,1.059E-9,71.74E-9,-115.8E-12,11.82E-6
83.38E-6,756.6E-12,70.76E-9,-115.6E-12,11.82E-6
83.43E-6,560.1E-12,69.52E-9,-124.4E-12,11.83E-6
83.47E-6,531.8E-12,69.05E-9,-136.9E-12,11.83E-6
83.51E-6,519.5E-12,68.94E-9,-151.6E-12,11.83E-6
83.56E-6,500.3E-12,69.14E-9,-166.9E-12,11.84E-6
83.64E-6,468.8E-12,69.51E-9,-179.6E-12,11.84E-6
83.75E-6,423.4E-12,69.61E-9,-188.1E-12,11.85E-6
83.89E-6,377.3E-12,69.46E-9,-198.2E-12,11.85E-6
84.06E-6,330.7E-12,69.34E-9,-212.2E-12,11.86E-6
84.29E-6,282.7E-12,69.32E-9,-226.4E-12,11.86E-6
84.66E-6,228.8E-12,69.30E-9,-238.3E-12,11.86E-6
85.02E-6,192.5E-12,69.29E-9,-241.4E-12,11.86E-6
85.42E-6,164.1E-12,69.29E-9,-238.3E-12,11.86E-6
85.87E-6,140.8E-12,69.32E-9,-229.5E-12,11.85E-6
86.37E-6,121.4E-12,69.36E-9,-215.7E-12,11.85E-6
86.97E-6,104.3E-12,69.42E-9,-197.1E-12,11.84E-6
87.73E-6,88.35E-12,69.49E-9,-172.8E-12,11.84E-6
88.73E-6,73.58E-12,69.58E-9,-143.0E-12,11.83E-6
89.50E-6,65.31E-12,69.64E-9,-121.9E-12,11.83E-6
89.55E-6,64.89E-12,69.65E-9,-120.7E-12,11.79E-6
89.62E-6,64.26E-12,69.66E-9,-119.3E-12,11.73E-6
89.71E-6,63.64E-12,69.67E-9,-117.3E-12,11.69E-6
89.78E-6,63.05E-12,69.66E-9,-115.0E-12,11.65E-6
89.87E-6,62.54E-12,69.64E-9,-112.5E-12,11.62E-6
89.94E-6,62.05E-12,69.64E-9,-110.7E-12,11.61E-6
90.00E-6,61.56E-12,69.63E-9,-108.9E-12,11.59E-6
90.03E-6,61.25E-12,69.63E-9,-108.0E-12,11.60E-6
90.05E-6,61.18E-12,69.63E-9,-107.0E-12,11.62E-6
90.08E-6,60.95E-12,69.62E-9,-105.8E-12,11.64E-6
90.14E-6,60.49E-12,69.61E-9,-103.8E-12,11.66E-6
90.19E-6,59.91E-12,69.60E-9,-102.1E-12,11.68E-6
90.26E-6,59.24E-12,69.61E-9,-100.4E-12,11.69E-6
90.35E-6,58.42E-12,69.63E-9,-97.81E-12,11.69E-6
90.46E-6,57.52E-12,69.64E-9,-93.77E-12,11.69E-6
90.61E-6,56.34E-12,69.64E-9,-88.18E-12,11.69E-6
90.80E-6,54.92E-12,69.65E-9,-80.21E-12,11.68E-6
91.13E-6,52.90E-12,69.68E-9,-64.33E-12,11.69E-6
91.52E-6,50.64E-12,69.69E-9,-36.59E-12,11.70E-6
92.09E-6,47.67E-12,69.66E-9,31.79E-12,11.72E-6
93.09E-6,43.14E-12,69.35E-9,306.6E-12,11.75E-6
93.94E-6,39.89E-12,68.70E-9,804.7E-12,11.77E-6
94.63E-6,37.60E-12,67.84E-9,1.438E-9,11.79E-6
95.27E-6,35.72E-12,66.82E-9,2.202E-9,11.79E-6
95.91E-6,34.01E-12,65.61E-9,3.183E-9,11.80E-6
96.16E-6,33.39E-12,65.10E-9,3.678E-9,11.80E-6
96.58E-6,32.39E-12,64.17E-9,4.813E-9,11.80E-6
96.92E-6,31.63E-12,63.33E-9,5.982E-9,11.80E-6
97.23E-6,30.99E-12,62.46E-9,7.119E-9,11.80E-6
97.78E-6,29.87E-12,60.76E-9,9.047E-9,11.81E-6
98.18E-6,29.12E-12,59.43E-9,10.40E-9,11.81E-6
98.56E-6,28.44E-12,58.14E-9,11.69E-9,11.81E-6
99.05E-6,27.62E-12,56.49E-9,13.36E-9,11.81E-6
99.50E-6,26.89E-12,54.95E-9,14.92E-9,11.81E-6
99.55E-6,25.31E-12,54.65E-9,15.03E-9,11.70E-6
99.60E-6,24.17E-12,54.23E-9,15.05E-9,11.63E-6
99.68E-6,18.27E-12,54.32E-9,14.49E-9,11.58E-6
99.74E-6,9.164E-12,55.91E-9,13.03E-9,11.57E-6
99.81E-6,-1.049E-12,59.49E-9,10.45E-9,11.58E-6
99.88E-6,-9.219E-12,64.71E-9,7.217E-9,11.59E-6
99.94E-6,-12.18E-12,68.62E-9,5.126E-9,11.60E-6
100.0E-6,-12.75E-12,70.98E-9,3.851E-9,11.60E-6
100.0E-6,-12.70E-12,71.32E-9,3.548E-9,11.60E-6
100.0E-6,-12.40E-12,71.52E-9,3.328E-9,11.60E-6
100.1E-6,-16.12E-12,71.68E-9,3.144E-9,11.60E-6
100.1E-6,-26.06E-12,72.09E-9,2.899E-9,11.58E-6
100.2E-6,-32.68E-12,72.58E-9,2.753E-9,11.56E-6
100.2E-6,-33.99E-12,73.06E-9,2.643E-9,11.54E-6
100.3E-6,-30.26E-12,73.30E-9,2.549E-9,11.51E-6
100.4E-6,-25.50E-12,73.24E-9,2.455E-9,11.47E-6
100.5E-6,-25.61E-12,73.07E-9,2.351E-9,11.42E-6
100.6E-6,-33.71E-12,72.96E-9,2.251E-9,11.37E-6
100.7E-6,-53.18E-12,72.90E-9,2.148E-9,11.32E-6
100.9E-6,-93.50E-12,72.75E-9,2.035E-9,11.27E-6
101.1E-6,-170.5E-12,72.44E-9,1.914E-9,11.24E-6
101.2E-6,-266.4E-12,72.05E-9,1.805E-9,11.21E-6
101.3E-6,-330.0E-12,71.75E-9,1.718E-9,11.20E-6
101.4E-6,-352.4E-12,71.60E-9,1.649E-9,11.19E-6
101.4E-6,-374.6E-12,71.26E-9,1.446E-9,11.19E-6
101.5E-6,-395.1E-12,70.46E-9,1.007E-9,11.18E-6
101.5E-6,-410.1E-12,69.63E-9,730.3E-12,11.18E-6
101.6E-6,-428.5E-12,68.77E-9,580.7E-12,11.17E-6
101.6E-6,-451.2E-12,68.14E-9,516.6E-12,11.17E-6
101.6E-6,-476.8E-12,67.84E-9,487.8E-12,11.17E-6
101.7E-6,-507.0E-12,67.80E-9,466.7E-12,11.16E-6
101.8E-6,-542.8E-12,67.98E-9,440.3E-12,11.16E-6
101.9E-6,-590.4E-12,68.14E-9,398.2E-12,11.15E-6
102.0E-6,-646.7E-12,68.01E-9,348.2E-12,11.15E-6
102.2E-6,-707.5E-12,67.77E-9,300.6E-12,11.14E-6
102.5E-6,-767.6E-12,67.63E-9,257.4E-12,11.12E-6
102.7E-6,-811.2E-12,67.56E-9,224.5E-12,11.11E-6
103.0E-6,-838.1E-12,67.52E-9,199.4E-12,11.10E-6
103.3E-6,-849.0E-12,67.50E-9,178.9E-12,11.08E-6
103.5E-6,-627.7E-12,67.24E-9,161.4E-12,11.07E-6
103.6E-6,-186.6E-12,66.85E-9,157.6E-12,11.07E-6
103.7E-6,1.724E-9,64.97E-9,152.9E-12,11.06E-6
103.8E-6,4.587E-9,62.20E-9,150.4E-12,11.06E-6
103.8E-6,10.37E-9,56.36E-9,148.2E-12,11.06E-6
103.9E-6,17.77E-9,48.48E-9,146.7E-12,11.07E-6
103.9E-6,25.37E-9,39.78E-9,145.6E-12,11.07E-6
104.0E-6,33.21E-9,29.98E-9,144.2E-12,11.07E-6
104.0E-6,38.35E-9,23.36E-9,142.6E-12,11.07E-6
104.0E-6,43.10E-9,18.45E-9,140.9E-12,11.07E-6
104.1E-6,49.88E-9,14.31E-9,138.7E-12,11.07E-6
104.1E-6,56.67E-9,11.68E-9,137.0E-12,11.09E-6
104.1E-6,62.76E-9,9.639E-9,135.6E-12,11.10E-6
104.2E-6,68.60E-9,7.477E-9,134.1E-12,11.11E-6
104.2E-6,71.55E-9,5.873E-9,132.9E-12,11.12E-6
104.2E-6,72.34E-9,4.895E-9,131.8E-12,11.12E-6
104.3E-6,72.44E-9,4.126E-9,130.3E-12,11.12E-6
104.3E-6,72.16E-9,3.454E-9,128.1E-12,11.12E-6
104.4E-6,71.86E-9,2.873E-9,125.5E-12,11.11E-6
104.4E-6,71.87E-9,2.361E-9,122.2E-12,11.11E-6
104.5E-6,72.13E-9,2.019E-9,119.2E-12,11.10E-6
104.7E-6,72.28E-9,1.748E-9,115.4E-12,11.10E-6
104.8E-6,72.18E-9,1.537E-9,110.8E-12,11.09E-6
105.0E-6,72.05E-9,1.376E-9,105.6E-12,11.08E-6
105.3E-6,71.96E-9,1.241E-9,100.1E-12,11.08E-6
105.6E-6,71.85E-9,1.120E-9,93.91E-12,11.07E-6
105.9E-6,71.71E-9,1.004E-9,87.16E-12,11.06E-6
106.4E-6,71.53E-9,884.9E-12,79.87E-12,11.05E-6
106.7E-6,71.39E-9,807.0E-12,75.44E-12,11.04E-6
106.9E-6,71.31E-9,765.4E-12,73.69E-12,11.04E-6
107.0E-6,71.17E-9,699.2E-12,72.18E-12,11.04E-6
107.1E-6,70.93E-9,588.1E-12,71.04E-12,11.04E-6
107.2E-6,70.50E-9,412.5E-12,69.90E-12,11.04E-6
107.3E-6,70.12E-9,294.6E-12,68.87E-12,11.04E-6
107.4E-6,69.93E-9,244.2E-12,67.80E-12,11.03E-6
107.5E-6,69.93E-9,231.5E-12,66.90E-12,11.03E-6
107.6E-6,69.98E-9,222.1E-12,65.93E-12,11.03E-6
107.7E-6,70.01E-9,212.3E-12,64.64E-12,11.03E-6
107.9E-6,70.01E-9,195.4E-12,62.84E-12,11.03E-6
108.3E-6,70.00E-9,165.9E-12,59.45E-12,11.03E-6
108.9E-6,70.00E-9,137.1E-12,55.43E-12,11.02E-6
109.5E-6,70.00E-9,115.2E-12,51.56E-12,11.02E-6
109.6E-6,70.24E-9,106.3E-12,50.82E-12,11.06E-6
109.6E-6,70.65E-9,88.63E-12,51.60E-12,11.10E-6
109.7E-6,70.49E-9,58.62E-12,51.09E-12,11.16E-6
109.8E-6,69.51E-9,36.60E-12,50.04E-12,11.19E-6
109.9E-6,68.04E-9,2.353E-12,48.12E-12,11.24E-6
109.9E-6,66.91E-9,-37.93E-12,46.13E-12,11.27E-6
110.0E-6,65.74E-9,-98.20E-12,43.07E-12,11.31E-6
110.0E-6,65.28E-9,-127.9E-12,41.43E-12,11.26E-6
110.0E-6,64.81E-9,-157.3E-12,38.06E-12,11.21E-6
110.1E-6,64.32E-9,-187.9E-12,35.52E-12,11.18E-6
110.1E-6,63.85E-9,-245.7E-12,31.74E-12,11.15E-6
110.2E-6,64.10E-9,-312.1E-12,27.38E-12,11.13E-6
110.2E-6,65.09E-9,-384.1E-12,22.23E-12,11.13E-6
110.3E-6,66.29E-9,-445.7E-12,17.33E-12,11.14E-6
110.4E-6,67.21E-9,-504.9E-12,12.10E-12,11.15E-6
110.5E-6,67.37E-9,-571.9E-12,5.850E-12,11.17E-6
110.6E-6,66.94E-9,-641.9E-12,142.1E-15,11.18E-6
110.7E-6,66.49E-9,-718.3E-12,-2.413E-12,11.19E-6
110.8E-6,66.24E-9,-799.9E-12,-1.339E-12,11.21E-6
110.9E-6,66.11E-9,-899.5E-12,-3.318E-12,11.24E-6
111.1E-6,66.00E-9,-978.6E-12,-14.37E-12,11.27E-6
111.2E-6,65.84E-9,-1.051E-9,-39.63E-12,11.30E-6
111.4E-6,65.57E-9,-1.132E-9,-101.5E-12,11.36E-6
111.6E-6,65.25E-9,-1.190E-9,-200.1E-12,11.41E-6
111.8E-6,64.90E-9,-1.205E-9,-308.8E-12,11.45E-6
111.9E-6,63.39E-9,-131.4E-12,-423.1E-12,11.50E-6
112.0E-6,62.05E-9,1.611E-9,-446.4E-12,11.51E-6
112.0E-6,54.96E-9,10.31E-9,-445.0E-12,11.54E-6
112.1E-6,48.09E-9,18.90E-9,-409.0E-12,11.55E-6
112.1E-6,39.21E-9,29.45E-9,-335.8E-12,11.57E-6
112.1E-6,29.06E-9,40.22E-9,-217.0E-12,11.59E-6
112.2E-6,20.87E-9,48.08E-9,-85.43E-12,11.61E-6
112.2E-6,14.18E-9,55.99E-9,58.20E-12,11.64E-6
112.2E-6,10.80E-9,62.96E-9,150.3E-12,11.66E-6
112.3E-6,8.719E-9,68.82E-9,216.0E-12,11.68E-6
112.3E-6,7.058E-9,73.58E-9,274.7E-12,11.70E-6
112.3E-6,5.874E-9,75.89E-9,318.9E-12,11.72E-6
112.3E-6,5.048E-9,76.37E-9,346.8E-12,11.73E-6
112.4E-6,4.471E-9,75.93E-9,358.5E-12,11.74E-6
112.4E-6,4.009E-9,75.12E-9,355.3E-12,11.74E-6
112.4E-6,3.608E-9,74.34E-9,336.0E-12,11.74E-6
112.5E-6,3.229E-9,73.96E-9,299.3E-12,11.75E-6
112.5E-6,2.906E-9,74.11E-9,256.2E-12,11.76E-6
112.6E-6,2.639E-9,74.38E-9,214.6E-12,11.78E-6
112.8E-6,2.400E-9,74.29E-9,167.7E-12,11.79E-6
112.9E-6,2.208E-9,73.93E-9,114.9E-12,11.81E-6
113.1E-6,2.041E-9,73.58E-9,57.60E-12,11.84E-6
113.3E-6,1.884E-9,73.28E-9,1.807E-12,11.86E-6
113.5E-6,1.739E-9,72.95E-9,-43.22E-12,11.87E-6
113.7E-6,1.651E-9,72.74E-9,-62.81E-12,11.88E-6
113.7E-6,1.599E-9,72.64E-9,-69.08E-12,11.88E-6
113.8E-6,1.461E-9,72.39E-9,-74.55E-12,11.89E-6
113.8E-6,1.206E-9,71.97E-9,-75.75E-12,11.89E-6
113.9E-6,856.7E-12,71.24E-9,-74.67E-12,11.89E-6
113.9E-6,605.3E-12,70.35E-9,-75.22E-12,11.90E-6
114.0E-6,470.1E-12,69.47E-9,-83.71E-12,11.90E-6
114.0E-6,453.8E-12,69.21E-9,-94.17E-12,11.90E-6
114.1E-6,439.8E-12,69.25E-9,-105.0E-12,11.91E-6
114.1E-6,425.4E-12,69.49E-9,-114.4E-12,11.91E-6
114.2E-6,398.6E-12,69.71E-9,-120.1E-12,11.91E-6
114.3E-6,358.2E-12,69.67E-9,-125.5E-12,11.92E-6
114.5E-6,311.5E-12,69.54E-9,-134.8E-12,11.92E-6
114.8E-6,260.8E-12,69.51E-9,-146.3E-12,11.93E-6
115.3E-6,204.6E-12,69.50E-9,-155.8E-12,11.94E-6
115.7E-6,169.3E-12,69.50E-9,-157.4E-12,11.94E-6
116.2E-6,142.8E-12,69.51E-9,-153.9E-12,11.94E-6
116.8E-6,121.3E-12,69.54E-9,-146.0E-12,11.94E-6
117.4E-6,103.2E-12,69.58E-9,-134.2E-12,11.94E-6
118.2E-6,87.14E-12,69.63E-9,-118.4E-12,11.93E-6
119.2E-6,72.74E-12,69.69E-9,-98.95E-12,11.93E-6
119.5E-6,69.11E-12,69.70E-9,-92.78E-12,11.93E-6
119.6E-6,68.99E-12,69.75E-9,-99.19E-12,11.99E-6
119.7E-6,69.47E-12,69.77E-9,-110.9E-12,12.04E-6
119.8E-6,70.43E-12,69.73E-9,-122.8E-12,12.07E-6
119.9E-6,70.90E-12,69.66E-9,-131.9E-12,12.09E-6
120.0E-6,70.96E-12,69.62E-9,-139.0E-12,12.10E-6
120.1E-6,70.35E-12,69.58E-9,-139.6E-12,12.06E-6
120.1E-6,69.66E-12,69.54E-9,-139.5E-12,12.03E-6
120.2E-6,68.54E-12,69.51E-9,-140.2E-12,12.01E-6
120.3E-6,65.91E-12,69.54E-9,-143.1E-12,11.99E-6
120.4E-6,63.53E-12,69.60E-9,-144.8E-12,11.98E-6
120.6E-6,61.30E-12,69.61E-9,-144.7E-12,11.98E-6
120.8E-6,58.84E-12,69.59E-9,-143.8E-12,11.97E-6
121.2E-6,56.01E-12,69.58E-9,-140.5E-12,11.95E-6
121.7E-6,52.63E-12,69.60E-9,-132.5E-12,11.93E-6
122.3E-6,49.21E-12,69.63E-9,-120.8E-12,11.90E-6
123.1E-6,45.34E-12,69.67E-9,-103.0E-12,11.88E-6
124.1E-6,41.09E-12,69.70E-9,-66.40E-12,11.86E-6
125.1E-6,37.63E-12,69.64E-9,29.63E-12,11.84E-6
126.1E-6,34.73E-12,69.33E-9,297.7E-12,11.83E-6
127.0E-6,32.48E-12,68.65E-9,828.9E-12,11.83E-6
127.7E-6,30.91E-12,67.76E-9,1.495E-9,11.82E-6
128.3E-6,29.64E-12,66.73E-9,2.282E-9,11.82E-6
129.0E-6,28.39E-12,65.44E-9,3.414E-9,11.82E-6
129.5E-6,27.59E-12,64.42E-9,4.594E-9,11.82E-6
129.6E-6,27.35E-12,64.10E-9,5.019E-9,11.81E-6
129.8E-6,27.18E-12,63.80E-9,5.438E-9,11.80E-6
129.9E-6,26.95E-12,63.46E-9,5.904E-9,11.80E-6
130.0E-6,26.78E-12,63.18E-9,6.269E-9,11.79E-6
130.1E-6,26.67E-12,63.00E-9,6.481E-9,11.80E-6
130.1E-6,26.58E-12,62.84E-9,6.685E-9,11.80E-6
130.2E-6,26.48E-12,62.67E-9,6.887E-9,11.80E-6
130.3E-6,26.30E-12,62.33E-9,7.287E-9,11.81E-6
130.4E-6,26.11E-12,61.96E-9,7.707E-9,11.81E-6
130.6E-6,25.86E-12,61.43E-9,8.278E-9,11.81E-6
130.8E-6,25.48E-12,60.67E-9,9.089E-9,11.81E-6
131.2E-6,25.07E-12,59.48E-9,10.32E-9,11.81E-6
131.8E-6,24.35E-12,57.70E-9,12.15E-9,11.82E-6
132.6E-6,23.41E-12,55.20E-9,14.70E-9,11.83E-6
133.6E-6,22.28E-12,52.08E-9,17.84E-9,11.83E-6
134.6E-6,21.26E-12,49.19E-9,20.76E-9,11.83E-6
135.6E-6,20.34E-12,46.59E-9,23.38E-9,11.83E-6
136.6E-6,19.50E-12,44.30E-9,25.68E-9,11.83E-6
137.6E-6,18.74E-12,42.32E-9,27.66E-9,11.82E-6
138.6E-6,18.04E-12,40.65E-9,29.34E-9,11.82E-6
139.5E-6,17.41E-12,39.32E-9,30.68E-9,11.82E-6
139.6E-6,16.59E-12,39.20E-9,30.70E-9,11.72E-6
139.7E-6,15.16E-12,39.11E-9,30.60E-9,11.63E-6
139.8E-6,11.46E-12,39.58E-9,30.00E-9,11.58E-6
139.9E-6,6.739E-12,41.17E-9,28.38E-9,11.55E-6
139.9E-6,3.204E-12,43.21E-9,26.41E-9,11.54E-6
140.0E-6,-301.2E-15,46.21E-9,23.60E-9,11.52E-6
140.0E-6,-1.461E-12,48.14E-9,21.88E-9,11.56E-6
140.1E-6,-2.725E-12,50.17E-9,20.20E-9,11.59E-6
140.1E-6,-3.995E-12,52.49E-9,18.34E-9,11.62E-6
140.2E-6,-3.389E-12,57.24E-9,14.59E-9,11.65E-6
140.2E-6,-33.66E-15,61.67E-9,10.98E-9,11.67E-6
140.3E-6,4.055E-12,65.63E-9,7.542E-9,11.68E-6
140.4E-6,6.921E-12,68.72E-9,4.610E-9,11.67E-6
140.6E-6,7.566E-12,70.48E-9,2.759E-9,11.66E-6
140.7E-6,6.548E-12,71.20E-9,1.877E-9,11.65E-6
140.9E-6,4.803E-12,71.47E-9,1.495E-9,11.65E-6
141.1E-6,3.200E-12,71.60E-9,1.306E-9,11.66E-6
141.3E-6,2.232E-12,71.68E-9,1.196E-9,11.68E-6
141.6E-6,2.255E-12,71.72E-9,1.123E-9,11.70E-6
141.8E-6,3.002E-12,71.73E-9,1.068E-9,11.71E-6
142.1E-6,4.155E-12,71.72E-9,1.018E-9,11.73E-6
142.4E-6,5.442E-12,71.68E-9,967.8E-12,11.75E-6
142.8E-6,6.835E-12,71.62E-9,913.7E-12,11.77E-6
143.2E-6,8.333E-12,71.52E-9,849.6E-12,11.79E-6
143.4E-6,9.122E-12,71.44E-9,807.1E-12,11.79E-6
143.5E-6,9.742E-12,71.32E-9,750.8E-12,11.80E-6
143.6E-6,10.46E-12,71.11E-9,649.4E-12,11.80E-6
143.7E-6,11.42E-12,70.63E-9,447.8E-12,11.80E-6
143.8E-6,11.28E-12,70.19E-9,311.4E-12,11.81E-6
143.9E-6,10.22E-12,69.94E-9,252.2E-12,11.81E-6
143.9E-6,9.435E-12,69.89E-9,232.8E-12,11.81E-6
144.0E-6,9.724E-12,69.95E-9,227.3E-12,11.82E-6
144.1E-6,10.85E-12,70.01E-9,219.3E-12,11.82E-6
144.3E-6,11.89E-12,70.02E-9,204.6E-12,11.82E-6
144.7E-6,12.27E-12,70.00E-9,176.6E-12,11.83E-6
145.1E-6,12.55E-12,70.00E-9,148.3E-12,11.84E-6
145.9E-6,13.00E-12,70.00E-9,116.6E-12,11.85E-6
146.9E-6,13.09E-12,70.00E-9,91.84E-12,11.86E-6
147.9E-6,12.90E-12,70.00E-9,75.83E-12,11.87E-6
148.9E-6,12.61E-12,70.00E-9,64.67E-12,11.87E-6
149.5E-6,12.44E-12,70.00E-9,59.84E-12,11.87E-6
149.6E-6,17.87E-12,70.12E-9,53.85E-12,12.00E-6
149.7E-6,32.83E-12,70.31E-9,41.95E-12,12.13E-6
149.8E-6,61.02E-12,70.39E-9,24.20E-12,12.23E-6
149.9E-6,78.48E-12,70.30E-9,10.55E-12,12.30E-6
149.9E-6,80.50E-12,70.22E-9,3.667E-12,12.33E-6
150.0E-6,76.37E-12,70.16E-9,-406.1E-15,12.37E-6
150.0E-6,72.68E-12,70.12E-9,811.2E-15,12.30E-6
150.1E-6,68.57E-12,70.06E-9,3.350E-12,12.24E-6
150.1E-6,62.96E-12,69.95E-9,6.886E-12,12.19E-6
150.2E-6,48.47E-12,69.79E-9,10.33E-12,12.12E-6
150.2E-6,35.91E-12,69.81E-9,9.548E-12,12.09E-6
150.3E-6,28.11E-12,69.96E-9,6.489E-12,12.08E-6
